"Jan-21","Port Vila","Luganville*","Malekula","Tanna"
"Total kWh Produced","5,376,483","1,036,008","101,522","125,289"
"Litres of diesel used","1,244,730","69,883","31,377","28,693"
"Diesel %","92.15%","22.97%","97.98%","97.83%"
"Copra oil %","0.00%","0.00%","0.00%","0.00%"
"Hydro %","0.00%","74.69%","0.00%","0.00%"
"Wind %","3.39%","0.00%","0.00%","0.00%"
"Solar %","4.45%","0.26%","2.02%","2.17%"
