"Dec-20","Port Vila","Luganville*","Malekula","Tanna"
"Total kWh Produced","5,269,019","1,040,320","102,511","134,714"
"Litres of diesel used","1,172,051","69,322","30,735","31,377"
"Diesel %","88.72%","21.87%","98.22%","98.00%"
"Copra oil %","0.00%","0.00%","0.00%","0.00%"
"Hydro %","0.00%","75.82%","0.00%","0.00%"
"Wind %","5.98%","0.00%","0.00%","0.00%"
"Solar %","5.30%","0.34%","1.78%","2.00%"
