"Mar-20","Port Vila","Luganville*","Malekula","Tanna"
"Total kWh Produced","6,030,242","1,104,219","98,383","125,643"
"Litres of diesel used","1,363,641","108,263","27,952","37,040"
"Diesel %","87.51%","32.20%","97.92%","97.41%"
"Copra oil %","2.81%","0.00%","0.00%","0.00%"
"Hydro %","0.00%","67.45%","0.00%","0.00%"
"Wind %","5.66%","0.00%","0.00%","0.00%"
"Solar %","4.01%","0.35%","2.08%","2.59%"
