"Jun-20","Port Vila","Luganville*","Malekula","Tanna"
"Total kWh Produced","4,609,270","882,974","94,158","116,487"
"Litres of diesel used","904,270","44,086","27,357","32,380"
"Diesel %","76.83%","16.11%","98.05%","97.72%"
"Copra oil %","0.53%","0.00%","0.00%","0.00%"
"Hydro %","0.00%","82.13%","0.00%","0.00%"
"Wind %","18.81%","0.00%","0.00%","0.00%"
"Solar %","3.82%","0.25%","1.95%","2.28%"
