"Jan-20","Port Vila","Luganville*","Malekula","Tanna"
"Total kWh Produced","6,249,719","1,069,791","96,668","122,858"
"Litres of diesel used","1,341,824","129,984","26,778","34,340"
"Diesel %","84.28%","41.53%","97.22%","96.83%"
"Copra oil %","1.16%","0.00%","0.00%","0.00%"
"Hydro %","0.00%","57.97%","0.00%","0.00%"
"Wind %","9.35%","0.00%","0.00%","0.00%"
"Solar %","5.21%","0.50%","2.78%","3.17%"
